run_id,episode,total_reward,avg_reward,epsilon,alpha,gamma,qtable_coverage
1,1,-7760,-7760.0,0.995,0.1,0.9,25.0
1,2,-5725,-2862.5,0.99003,0.1,0.9,50.5
1,3,-4225,-1408.33,0.98507,0.1,0.9,62.0
1,4,-7965,-1991.25,0.98015,0.1,0.9,74.7
1,5,-5470,-1094.0,0.97525,0.1,0.9,79.6
1,6,-4165,-694.17,0.97037,0.1,0.9,82.7
1,7,-2565,-366.43,0.96552,0.1,0.9,86.7
1,8,-2355,-294.38,0.96069,0.1,0.9,87.2
1,9,-5855,-650.56,0.95589,0.1,0.9,91.6
1,10,-4445,-444.5,0.95111,0.1,0.9,91.8
1,11,-1495,-135.91,0.94635,0.1,0.9,92.3
1,12,-5795,-482.92,0.94162,0.1,0.9,92.6
1,13,-6470,-497.69,0.93691,0.1,0.9,93.1
1,14,-5870,-419.29,0.93223,0.1,0.9,94.9
1,15,-4375,-291.67,0.92757,0.1,0.9,95.2
1,16,-6985,-436.56,0.92293,0.1,0.9,95.9
1,17,-1360,-80.0,0.91832,0.1,0.9,96.9
1,18,-2125,-118.06,0.91372,0.1,0.9,96.9
1,19,-1075,-56.58,0.90916,0.1,0.9,96.9
1,20,-1485,-74.25,0.90461,0.1,0.9,96.9
1,21,-2115,-100.71,0.90009,0.1,0.9,96.9
1,22,-4290,-195.0,0.89559,0.1,0.9,96.9
1,23,-4550,-197.83,0.89111,0.1,0.9,96.9
1,24,-6640,-276.67,0.88665,0.1,0.9,97.2
1,25,-1030,-41.2,0.88222,0.1,0.9,97.4
1,26,-3015,-115.96,0.87781,0.1,0.9,97.4
1,27,-7675,-284.26,0.87342,0.1,0.9,97.4
1,28,-6445,-230.18,0.86905,0.1,0.9,97.7
1,29,-7375,-254.31,0.86471,0.1,0.9,97.7
1,30,-2150,-71.67,0.86038,0.1,0.9,97.7
1,31,-5600,-180.65,0.85608,0.1,0.9,97.7
1,32,-5745,-179.53,0.8518,0.1,0.9,97.7
1,33,-6225,-188.64,0.84754,0.1,0.9,97.7
